age_group,sex,STATEFIP,bpl,no_mig,prop_pop,prop_mig,origin_original,origin,state_fip,state
15,1,1,105,38,2.6902083495571775e-5,0.16593886462882096,Guam,Guam,01,Alabama
15,1,1,110,80,5.663596525383532e-5,0.041407867494824016,Puerto Rico,Puerto Rico,01,Alabama
15,1,1,150,189,1.3380246791218594e-4,0.12336814621409922,Canada,Canada,01,Alabama
15,1,1,200,2023,0.0014321819713563606,0.07068730563611586,Mexico,Mexico,01,Alabama
15,1,1,210,707,5.005203429307696e-4,0.07542942494398805,Central America,Central America,01,Alabama
15,1,1,260,157,1.1114808181065181e-4,0.07152619589977222,West Indies,West Indies,01,Alabama
15,1,1,300,110,7.787445222402356e-5,0.04380724810832338,SOUTH AMERICA,SOUTH AMERICA,01,Alabama
15,1,1,402,39,2.7610033061244716e-5,1,Iceland,Iceland,01,Alabama
15,1,1,404,82,5.80518643851812e-5,0.5734265734265734,Norway,Norway,01,Alabama
15,1,1,405,38,2.6902083495571775e-5,0.25165562913907286,Sweden,Sweden,01,Alabama
15,1,1,410,16,1.1327193050767063e-5,0.012364760432766615,England,England,01,Alabama
15,1,1,413,31,2.1946436535861187e-5,0.06431535269709543,"United Kingdom, ns",UK,01,Alabama
15,1,1,420,24,1.6990789576150594e-5,0.36923076923076925,Belgium,Belgium,01,Alabama
15,1,1,434,84,5.946776351652708e-5,0.15412844036697249,Italy,Italy,01,Alabama
15,1,1,436,2,1.415899131345883e-6,0.037037037037037035,Portugal,Portugal,01,Alabama
15,1,1,453,713,5.047680403248072e-4,0.09292323732568747,Germany,Germany,01,Alabama
15,1,1,465,350,2.477823479855295e-4,0.33524904214559387,Other USSR/Russia,Russia,01,Alabama
15,1,1,500,354,2.506141462482213e-4,0.10122962539319416,China,China,01,Alabama
15,1,1,502,263,1.861907357719836e-4,0.08185496420790539,Korea,South Korea,01,Alabama
15,1,1,515,170,1.2035142616440005e-4,0.13107170393215112,Philippines,Philippines,01,Alabama
15,1,1,517,10,7.079495656729415e-6,0.01730103806228374,Thailand,Thailand,01,Alabama
15,1,1,518,40,2.831798262691766e-5,0.01653575857792476,Vietnam,Vietnam,01,Alabama
15,1,1,521,149,1.0548448528526828e-4,0.02946993670886076,India,India,01,Alabama
15,1,1,522,43,3.0441831323936484e-5,0.08669354838709678,Iran,Iran,01,Alabama
15,1,1,524,54,3.822927654633884e-5,0.15083798882681565,Nepal,Nepal,01,Alabama
15,1,1,532,18,1.2743092182112946e-5,0.09137055837563451,Iraq,Iraq,01,Alabama
15,1,1,535,24,1.6990789576150594e-5,0.13636363636363635,Jordan,Jordan,01,Alabama
15,1,1,536,58,4.1061074809030605e-5,0.1676300578034682,Kuwait,Kuwait,01,Alabama
15,1,1,542,35,2.477823479855295e-5,0.10144927536231885,Turkey,Turkey,01,Alabama
15,1,1,544,19,1.3451041747785888e-5,0.10052910052910052,Yemen Arab Republic (North),Yemen Arab Republic (North),01,Alabama
15,1,1,600,98,6.937905743594826e-5,0.02388496222276383,AFRICA,AFRICA,01,Alabama
15,1,1,700,39,2.7610033061244716e-5,0.12828947368421054,Australia and New Zealand,Australia,01,Alabama
15,1,1,950,24,1.6990789576150594e-5,1,Other n.e.c.,Other n.e.c.,01,Alabama
15,1,2,100,23,9.368978903503591e-5,0.02354145342886387,American Samoa,American Samoa,02,Alaska
15,1,2,105,95,3.869795634055831e-4,0.2092511013215859,Guam,Guam,02,Alaska
15,1,2,110,368,0.0014990366245605745,0.3898305084745763,Puerto Rico,Puerto Rico,02,Alaska
15,1,2,150,120,4.888162906175786e-4,0.10638297872340426,Canada,Canada,02,Alaska
15,1,2,200,50,2.036734544239911e-4,0.03215434083601286,Mexico,Mexico,02,Alaska
15,1,2,210,33,1.3442447991983414e-4,0.05076923076923077,Central America,Central America,02,Alaska
15,1,2,260,76,3.095836507244665e-4,0.0695970695970696,West Indies,West Indies,02,Alaska
15,1,2,300,48,1.9552651624703146e-4,0.05853658536585366,SOUTH AMERICA,SOUTH AMERICA,02,Alaska
15,1,2,410,41,1.670122326276727e-4,0.09490740740740741,England,England,02,Alaska
15,1,2,453,106,4.3178772337886114e-4,0.08833333333333333,Germany,Germany,02,Alaska
15,1,2,465,91,3.706856870516638e-4,0.08817829457364341,Other USSR/Russia,Russia,02,Alaska
15,1,2,501,123,5.010366978830181e-4,0.14642857142857144,Japan,Japan,02,Alaska
15,1,2,502,70,2.851428361935875e-4,0.062388591800356503,Korea,South Korea,02,Alaska
